Nr;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;LG;W1;W2;W3;W4;W5;W6
1;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Wiosna Roberta Biedronia;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Konfederacja Wolnoœæ i Niepodleg³oœæ;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Lewica Razem;Solidarna Polska;Polskie Stronnictwo Ludowe;Nowoczesna;432436;183364;108191;71061;31006;25319;0
2;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Sojusz Lewicy Demokratycznej;Platforma Obywatelska RP;Porozumienie Jaros³awa Gowina;brak;Nowoczesna;Polskie Stronnictwo Ludowe;brak;brak;Wiosna Roberta Biedronia;Prawo i Sprawiedliwoœæ;Konfederacja Wolnoœæ i Niepodleg³oœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;brak;brak;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;Nowoczesna;Prawo i Sprawiedliwoœæ;brak;283002;114728;90812;34957;20528;15346;0
3;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Wiosna Roberta Biedronia;Prawo i Sprawiedliwoœæ;Partia Zieloni;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Ruch Narodowy;Prawo i Sprawiedliwoœæ;Nowoczesna;Unia Europejskich Demokratów;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Lewica Razem;Porozumienie Jaros³awa Gowina;Platforma Obywatelska RP;brak;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Sojusz Lewicy Demokratycznej;Korwin;brak;654455;226915;214629;100843;42269;48775;0
4;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Wiosna Roberta Biedronia;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;brak;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;Konfederacja Wolnoœæ i Niepodleg³oœæ;brak;Solidarna Polska;Porozumienie Jaros³awa Gowina;brak;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;brak;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Prawo i Sprawiedliwoœæ;459982;167550;142844;69763;41497;32406;0
5;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Porozumienie Jaros³awa Gowina;brak;Solidarna Polska;brak;Konfederacja Wolnoœæ i Niepodleg³oœæ;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;Platforma Obywatelska RP;brak;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;brak;Prawo i Sprawiedliwoœæ;brak;Sojusz Lewicy Demokratycznej;brak;452330;182648;119526;67076;49225;28625;0
6;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;brak;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;brak;Sojusz Lewicy Demokratycznej;Konfederacja Wolnoœæ i Niepodleg³oœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;Porozumienie Jaros³awa Gowina;Prawo i Sprawiedliwoœæ;Lewica Razem;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;565597;313284;109185;44152;51474;40012;0
7;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;brak;brak;brak;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Wiosna;Solidarna Polska;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;Ruch Narodowy;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;brak;Prawo i Sprawiedliwoœæ;Polskie Stronnictwo Ludowe;brak;Nowoczesna;401318;238802;59401;27404;47604;23439;0
8;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Partia Zieloni;Wiosna Roberta Biedronia;Polskie Stronnictwo Ludowe;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Sojusz Lewicy Demokratycznej;Ruch Narodowy;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Lewica Razem;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Platforma Obywatelska RP;brak;Polskie Stronnictwo Ludowe;Prawo i Sprawiedliwoœæ;437917;150188;136955;68341;50943;31490;0
9;brak;Prawo i Sprawiedliwoœæ;Sojusz Lewicy Demokratycznej;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Porozumienie Jaros³awa Gowina;Wiosna Roberta Biedronia;Platforma Obywatelska RP;brak;Nowoczesna;Lewica Razem;Konfederacja Wolnoœæ i Niepodleg³oœæ;Prawo i Sprawiedliwoœæ;brak;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Sojusz Lewicy Demokratycznej;Prawo i Sprawiedliwoœæ;Unia Europejskich Demokratów;Partia Zieloni;brak;Sojusz Lewicy Demokratycznej;brak;Porozumienie Jaros³awa Gowina;415540;136731;148830;83524;18828;27627;0
10;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Wiosna Roberta Biedronia;Polskie Stronnictwo Ludowe;Prawo i Sprawiedliwoœæ;brak;Platforma Obywatelska RP;Prawo i Sprawiedliwoœæ;Konfederacja Wolnoœæ i Niepodleg³oœæ;Solidarna Polska;Prawo i Sprawiedliwoœæ;Sojusz Lewicy Demokratycznej;brak;Platforma Obywatelska RP;Porozumienie Jaros³awa Gowina;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Prawo i Sprawiedliwoœæ;Platforma Obywatelska RP;brak;Sojusz Lewicy Demokratycznej;346326;194658;54160;37930;36151;23427;0
